HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490
3400891235203,1157.0,187.0,2.0,5001.0,539067.0,714.0,1030.0,0.18052018827657887,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892669236,1157.0,187.0,9.0,5001.0,539067.0,714.0,7429.0,0.16188775712402131,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400893736135,1157.0,187.0,6.0,5001.0,539067.0,714.0,4040.0,0.17914704220378508,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400892052120,1157.0,187.0,5.0,5001.0,539067.0,714.0,1870.0,0.18563519390318906,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892697789,1157.0,187.0,2.0,5001.0,539067.0,714.0,540.0,0.13919532811492974,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400892065366,1157.0,187.0,7.5,5001.0,539067.0,714.0,4683.0,0.13051861282447047,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893022634,1157.0,187.0,10.0,5001.0,539067.0,714.0,4374.0,0.16169429164635088,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3400892745848,1157.0,187.0,9.0,5001.0,539067.0,714.0,2520.0,0.1543159145531527,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400892761695,1157.0,187.0,14.0,5001.0,539067.0,714.0,15405.0,0.17632458013849625,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892088310,1157.0,187.0,9.0,5001.0,539067.0,714.0,2190.0,0.16128454818856783,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3400892203645,1157.0,187.0,5.5,5001.0,539067.0,714.0,2485.0,0.15268801213458327,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400892761527,1157.0,187.0,12.0,5001.0,539067.0,714.0,12445.0,0.1766744205018441,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
