CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,WEEK,YEAR,CLUSTER
8,2017-07-01,3400892697789,1157.0,187.0,7,2.0,5001.0,539067.0,714.0,540.0,623.3333333333334,75420.0,1236.0,261.0,26,2017,3
7,2017-07-01,3400893736135,1157.0,187.0,7,4.0,5001.0,539067.0,714.0,4040.0,3960.0,75420.0,1236.0,261.0,26,2017,7
9,2017-07-01,3400892203645,1157.0,187.0,7,5.0,5001.0,539067.0,714.0,2485.0,2908.333333333333,75420.0,1236.0,261.0,26,2017,8
4,2017-07-01,3400892088310,1157.0,187.0,7,9.0,5001.0,539067.0,714.0,2190.0,2870.333333333333,75420.0,1236.0,261.0,26,2017,0
2,2017-07-01,3400893826706,1157.0,187.0,7,6.0,5001.0,539067.0,714.0,1971.0,1580.3333333333333,75420.0,1236.0,261.0,26,2017,1
5,2017-07-01,3400892075761,1157.0,187.0,7,5.0,5001.0,539067.0,714.0,2030.0,2133.333333333333,75420.0,1236.0,261.0,26,2017,0
3,2017-08-01,3400892729589,1157.0,187.0,8,6.0,5001.0,539067.0,714.0,4350.0,4136.0,75420.0,1236.0,261.0,31,2017,3
18,2017-08-01,3400892508566,1157.0,187.0,8,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,31,2017,6
5,2017-08-01,3400892075761,1157.0,187.0,8,5.0,5001.0,539067.0,714.0,1980.0,2006.6666666666667,75420.0,1236.0,261.0,31,2017,0
8,2017-08-01,3400892697789,1157.0,187.0,8,2.0,5001.0,539067.0,714.0,1080.0,700.0,75420.0,1236.0,261.0,31,2017,3
17,2017-08-01,3400892669236,1157.0,187.0,8,24.0,5001.0,539067.0,714.0,7495.0,7553.666666666667,75420.0,1236.0,261.0,31,2017,3
9,2017-08-01,3400892203645,1157.0,187.0,8,6.0,5001.0,539067.0,714.0,3415.0,3078.333333333333,75420.0,1236.0,261.0,31,2017,8
6,2017-08-01,3400892745848,1157.0,187.0,8,9.0,5001.0,539067.0,714.0,2590.0,2936.6666666666665,75420.0,1236.0,261.0,31,2017,3
14,2017-08-01,3400892761527,1157.0,187.0,8,10.0,5001.0,539067.0,714.0,11755.0,11978.333333333334,75420.0,1236.0,261.0,31,2017,3
13,2017-08-01,3400892065366,1157.0,187.0,8,10.0,5001.0,539067.0,714.0,4845.0,4880.666666666667,75420.0,1236.0,261.0,31,2017,0
4,2017-08-01,3400892088310,1157.0,187.0,8,7.0,5001.0,539067.0,714.0,2631.0,2503.0,75420.0,1236.0,261.0,31,2017,0
14,2017-08-01,3400892761695,1157.0,187.0,8,12.0,5001.0,539067.0,714.0,15800.0,15893.333333333334,75420.0,1236.0,261.0,31,2017,3
3,2017-08-01,3400892052120,1157.0,187.0,8,3.0,5001.0,539067.0,714.0,1450.0,1666.6666666666667,75420.0,1236.0,261.0,31,2017,0
16,2017-08-01,3400891191226,1157.0,187.0,8,7.0,5001.0,539067.0,714.0,2780.0,2580.0,75420.0,1236.0,261.0,31,2017,2
2,2017-08-01,3400893826706,1157.0,187.0,8,5.0,5001.0,539067.0,714.0,1743.0,1735.0,75420.0,1236.0,261.0,31,2017,1
11,2017-08-01,3400891225037,1157.0,187.0,8,15.0,5001.0,539067.0,714.0,13230.0,13331.333333333334,75420.0,1236.0,261.0,31,2017,2
7,2017-08-01,3400893736135,1157.0,187.0,8,6.0,5001.0,539067.0,714.0,4580.0,4180.0,75420.0,1236.0,261.0,31,2017,7
10,2017-08-01,3400891235203,1157.0,187.0,8,4.0,5001.0,539067.0,714.0,1410.0,1280.0,75420.0,1236.0,261.0,31,2017,2
12,2017-08-01,3400891996128,1157.0,187.0,8,22.0,5001.0,539067.0,714.0,59700.0,61206.66666666666,75420.0,1236.0,261.0,31,2017,0
1,2017-08-01,3400890837149,1157.0,187.0,8,7.0,5001.0,539067.0,714.0,2150.0,2210.0,75420.0,1236.0,261.0,31,2017,4
12,2017-08-01,3400893875490,1157.0,187.0,8,17.0,5001.0,539067.0,714.0,8239.0,8565.333333333334,75420.0,1236.0,261.0,31,2017,1
15,2017-08-01,3400893022634,1157.0,187.0,8,14.0,5001.0,539067.0,714.0,4371.0,4478.666666666667,75420.0,1236.0,261.0,31,2017,5
10,2017-09-01,3400891235203,1157.0,187.0,9,5.5,5001.0,539067.0,714.0,1420.0,1286.6666666666667,75420.0,1236.0,261.0,35,2017,2
14,2017-09-01,3400892761527,1157.0,187.0,9,10.0,5001.0,539067.0,714.0,10487.0,11562.333333333334,75420.0,1236.0,261.0,35,2017,3
2,2017-09-01,3400893826706,1157.0,187.0,9,5.5,5001.0,539067.0,714.0,1763.0,1825.6666666666667,75420.0,1236.0,261.0,35,2017,1
