CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
4,2017-08-01,3400892088310,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,5690.0,5993.333333333333,254570.0,5.0,285.0,8464.0,31,2017,0
14,2017-08-01,3400892761695,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,6260.0,8953.333333333334,254570.0,5.0,285.0,8464.0,31,2017,3
3,2017-08-01,3400892052120,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,8220.0,8510.0,254570.0,5.0,285.0,8464.0,31,2017,0
16,2017-08-01,3400891191226,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,8800.0,9253.333333333334,254570.0,5.0,285.0,8464.0,31,2017,2
2,2017-08-01,3400893826706,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,4850.0,5316.666666666667,254570.0,5.0,285.0,8464.0,31,2017,1
11,2017-08-01,3400891225037,4500.0,467.0,8,2.0,15650.0,1843319.0,2556.0,25880.0,25533.33333333333,254570.0,5.0,285.0,8464.0,31,2017,2
7,2017-08-01,3400893736135,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,6850.0,8176.666666666667,254570.0,5.0,285.0,8464.0,31,2017,1
10,2017-08-01,3400891235203,4500.0,467.0,8,2.0,15650.0,1843319.0,2556.0,4950.0,4250.0,254570.0,5.0,285.0,8464.0,31,2017,2
12,2017-08-01,3400891996128,4500.0,467.0,8,2.0,15650.0,1843319.0,2556.0,185200.0,195333.3333333333,254570.0,5.0,285.0,8464.0,31,2017,5
1,2017-08-01,3400890837149,4500.0,467.0,8,2.0,15650.0,1843319.0,2556.0,16200.0,16766.666666666668,254570.0,5.0,285.0,8464.0,31,2017,4
12,2017-08-01,3400893875490,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,19670.0,21413.33333333333,254570.0,5.0,285.0,8464.0,31,2017,1
15,2017-08-01,3400893022634,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,0.0,0.0,254570.0,5.0,209.0,8464.0,31,2017,6
10,2017-09-01,3400891235203,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,6000.0,4750.0,254570.0,5.0,285.0,8464.0,35,2017,2
14,2017-09-01,3400892761527,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,3650.0,5733.333333333333,254570.0,5.0,285.0,8464.0,35,2017,3
2,2017-09-01,3400893826706,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,5100.0,5550.0,254570.0,5.0,285.0,8464.0,35,2017,1
15,2017-09-01,3400893022634,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,0.0,0.0,254570.0,5.0,209.0,8464.0,35,2017,6
6,2017-09-01,3400892745848,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,13020.0,9400.0,254570.0,5.0,285.0,8464.0,35,2017,3
11,2017-09-01,3400891225037,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,20480.0,23040.0,254570.0,5.0,285.0,8464.0,35,2017,2
17,2017-09-01,3400892669236,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,20430.0,24978.0,254570.0,5.0,285.0,8464.0,35,2017,3
7,2017-09-01,3400893736135,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,6350.0,7936.666666666667,254570.0,5.0,285.0,8464.0,35,2017,1
4,2017-09-01,3400892088310,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,9120.0,8293.333333333334,254570.0,5.0,285.0,8464.0,35,2017,0
13,2017-09-01,3400892065366,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,15990.0,17150.0,254570.0,5.0,285.0,8464.0,35,2017,0
18,2017-09-01,3400892508566,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,6700.0,6583.333333333333,254570.0,5.0,285.0,8464.0,35,2017,3
14,2017-09-01,3400892761695,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,7680.0,8506.666666666666,254570.0,5.0,285.0,8464.0,35,2017,3
3,2017-09-01,3400892729589,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,15330.0,16270.0,254570.0,5.0,285.0,8464.0,35,2017,3
12,2017-09-01,3400893875490,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,20960.0,20646.666666666668,254570.0,5.0,285.0,8464.0,35,2017,1
5,2017-09-01,3400892075761,4500.0,467.0,9,1.0,15650.0,1843319.0,2556.0,8970.0,10030.0,254570.0,5.0,285.0,8464.0,35,2017,0
